Reporting Week,Sail Year,Sail Month,F Pol Dep Time Id,L Pod Arr Time Id,Primary Svvd Close Date,Cgo Trade Cde,Cgo Trade Lane Cde,Shipment DIR,BPM Sales Region,BPM Sales Ofce Cde,BPM Local Region,Orig Ofce Cde,Primary Svvd Id,F Base Pol Svvd,L Base Pod Svvd,F Pol Svvd,L Pod Svvd,Trckg Grp Ref Cde,Bl Ref Cde,Sc Num,AGMT NUM,Agreement Creator,Agreement Approver,TEU,Freight Revenue,Orig City Nme,Orig State,Orig Country Nme,Dest City Nme,Dest State,Dest Country Nme,F Pol Nme,L Pod Nme,F Base Pol Nme,L Base Pod Nme,Cntr Type,Cgo Nature Cde,Sales Rep Code,Sales Name,SCTD IND,Freight  Revenue Type,Shipper Cde,Shipper Nme,Consign Cde,Consign Nme,Forward Cde,Forward Name,Ctrct Ctrl Pty Cde,Ctrct Ctrl Pty Name,BOUND,Contrib1,Contrib2,Contrib3,Net Freight,Cust ID,Cust Main Name,SOC IND,Intra river Ind,Trade Division,Booking Party Code,Booking Party Name,Dest Region,Booking Office,Account Scale,BCO_NVO,Industry,FOB IND,CNTR TYPE GRP,Region GRP Main Nme,GBL Grp Main Nme,BPM Sales Country,F_POL_DEP_TIME_ID,INLAND_CGO_ID,SC_COMMODITY_GROUP,C3 Adjustment,Dest Office,Commodity Group,品名,Primary SVVD Season Type
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653400,7140653400,,JKT08604003v2,triagha,petcui,8,1280,Jakarta,Jakarta Raya,Indonesia,Port Klang,Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,40HQ,GC,P30,Winily Leo,0,>10% and <=15%,7384248000,Transworld GLS Indonesia,7208859000,Transworld Gls Sdn Bhd,7384248000,Transworld GLS Indonesia,7384248000,Transworld GLS Indonesia,IB,462.68,462.68,462.68,1280,7384248,Transworld GLS Indonesia,1,0,COSCON S.E.A,7384248000,Transworld GLS Indonesia,B.MYS,JKT,,,,0,GP_Group,,,Indonesia,20170101,0,,457.56,KUL,,#N/A,
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653410,7140653410,,JKT10036002v2,triagha,petcui,2,320,Jakarta,Jakarta Raya,Indonesia,Port Klang,Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,40HQ,GC,P30,Winily Leo,0,>10% and <=15%,7272963000,Samudera Lautan Luas (SLL),7614190000,TA Container Line Services (M) Sdn. Bhd.,7272963000,Samudera Lautan Luas (SLL),7272963000,Samudera Lautan Luas (SLL),IB,115.67,115.67,115.67,320,7272963,Samudera Lautan Luas (SLL),1,0,COSCON S.E.A,7272963000,Samudera Lautan Luas (SLL),B.MYS,JKT,,,,0,GP_Group,,,Indonesia,20170101,0,,114.39,KUL,,#N/A,
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653420,7140653420,,JKT11079001v2,claraag,petcui,4,680,Jakarta,Jakarta Raya,Indonesia,Port Klang (West Port),Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,20GP,GC,P30,Winily Leo,0,>-5% and <=0%,7616540000,MTT SHIPPING,7083996000,Mtt Shipping Sdn Bhd,7645357000,Putera Utama Lautan,7616540000,MTT SHIPPING,IB,54.44,54.44,54.44,680,7616540,MTT SHIPPING,1,0,COSCON S.E.A,7616540000,MTT SHIPPING,B.MYS,JKT,,,,0,GP_Group,,,Indonesia,20170101,0,,51.88,KUL,,#N/A,
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653420,7140653420,,JKT11079001v2,claraag,petcui,2,320,Jakarta,Jakarta Raya,Indonesia,Port Klang (West Port),Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,40HQ,GC,P30,Winily Leo,0,>-5% and <=0%,7616540000,MTT SHIPPING,7083996000,Mtt Shipping Sdn Bhd,7645357000,Putera Utama Lautan,7616540000,MTT SHIPPING,IB,115.67,115.67,115.67,320,7616540,MTT SHIPPING,1,0,COSCON S.E.A,7616540000,MTT SHIPPING,B.MYS,JKT,,,,0,GP_Group,,,Indonesia,20170101,0,,114.39,KUL,,#N/A,
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653430,7140653430,,JKT06065006v2,triagha,petcui,1,170,Jakarta,Jakarta Raya,Indonesia,Port Klang,Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,20GP,GC,P30,Winily Leo,0,>-5% and <=0%,6965672000,Ganindo Marine Transport,7336617000,CCL Shipping Agency Sdn Bhd,6965672000,Ganindo Marine Transport,6965672000,Ganindo Marine Transport,IB,13.61,13.61,13.61,170,6965672,Ganindo Marine Transport,1,0,COSCON S.E.A,6965672000,Ganindo Marine Transport,B.MYS,JKT,,NVO,,0,GP_Group,,,Indonesia,20170101,0,,12.97,KUL,OTH,其他,
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653470,7140653470,,JKT11078001v1,claraag,chinmw,2,340,Jakarta,Jakarta Raya,Indonesia,Port Klang,Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,20GP,GC,P30,Winily Leo,0,>-5% and <=0%,7616312000,Hamburg Sud,6518020000,Ben Line Agencies (M) Sdn Bhd,7103017000,Bahari Eka Nusantara,7616312000,Hamburg Sud,IB,27.22,27.22,27.22,340,7616312,Hamburg Sud,1,0,COSCON S.E.A,7103017000,Bahari Eka Nusantara,B.MYS,JKT,,,,0,GP_Group,,,Indonesia,20170101,0,,25.94,KUL,OTH,其他,
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653470,7140653470,,JKT11078001v1,claraag,chinmw,4,640,Jakarta,Jakarta Raya,Indonesia,Port Klang,Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,40HQ,GC,P30,Winily Leo,0,>10% and <=15%,7616312000,Hamburg Sud,6518020000,Ben Line Agencies (M) Sdn Bhd,7103017000,Bahari Eka Nusantara,7616312000,Hamburg Sud,IB,231.34,231.34,231.34,640,7616312,Hamburg Sud,1,0,COSCON S.E.A,7103017000,Bahari Eka Nusantara,B.MYS,JKT,,,,0,GP_Group,,,Indonesia,20170101,0,,228.78,KUL,OTH,其他,
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653490,7140653490,,JKT11004001v2,triagha,petcui,2,340,Jakarta,Jakarta Raya,Indonesia,Port Klang,Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,20GP,GC,P30,Winily Leo,0,>-5% and <=0%,7613674000,INFINITY LOGISTINDO INDONESIA,7093792000,Infinity Logistics And Transport Sdn Bhd,7613674000,INFINITY LOGISTINDO INDONESIA,7613674000,INFINITY LOGISTINDO INDONESIA,IB,27.22,27.22,27.22,340,7613674,INFINITY LOGISTINDO INDONESIA,1,0,COSCON S.E.A,7613674000,INFINITY LOGISTINDO INDONESIA,B.MYS,JKT,,,,0,GP_Group,,,Indonesia,20170101,0,,25.94,KUL,OTH,其他,
201701,2017,1,20170101,20161226,20170101,IAT,IAR,E,B.Asia(W),JED,B.Asia(W),JED,FRXSGA118E,FRXSGA118E,FRXSGA118E,FRXSGA118E,FRXSGA118E,6137922730,6137922730,,JED00953004v1,,,2,300,Jeddah,Makkah,Saudi Arabia,Sokhna,As Suways,Egypt,Jeddah,Sokhna Port,Jeddah,Sokhna Port,40HQ,GC,O24,Faraz,0,>-5% and <=0%,6613565000,Future Key,6724931000,Masria For Road Requipments Company,6613565000,Future Key,7276063000,Bafco International Shipping Logistics Company Limited,IB,119.09,81.13,140.5,300,7276063,Bafco International Shipping Logistics Company Limited,0,0,APTD,6613565000,Future Key,C.Europe,JED,,NVO,,0,GP_Group,,,Saudi Arabia,20170101,0,,153.79,CRO,OTH,其他,
201701,2017,1,20170101,20161226,20170101,IAT,IAR,E,B.Asia(W),JED,B.Asia(W),JED,FRXSGA118E,FRXSGA118E,FRXSGA118E,FRXSGA118E,FRXSGA118E,6137925750,6137925750,,JED00953004v1,,,8,1200,Jeddah,Makkah,Saudi Arabia,Sokhna,As Suways,Egypt,Jeddah,Sokhna Port,Jeddah,Sokhna Port,40HQ,GC,O24,Faraz,0,>-5% and <=0%,7038835000,Al Karsf Shipping & Forwarding,7122116000,Sanita Consumer Product,7038835000,Al Karsf Shipping & Forwarding,7276063000,Bafco International Shipping Logistics Company Limited,IB,476.36,324.52,562,1200,7276063,Bafco International Shipping Logistics Company Limited,0,0,APTD,7038835000,Al Karsf Shipping & Forwarding,C.Europe,JED,,NVO,,0,GP_Group,,,Saudi Arabia,20170101,0,,562,CRO,FLL,森林制品、木材、原木等,
